response,context,context/0,context/1,context/2,context/3,context/4,context/5
ok when is e interview u need more pple my fren interested oso,Im like old bird now so life is gd And Been training real hard for the tournament Hope to do well you lucky gal got tai tai life to enjoy Haha,Opps I nd ard mins Sorry,yeah must sign up im in lt25,Go take taxi la Simple,I still have not bathe So stinky now Haha,Hey vivian can we exchange handphone number,Cheng ting Mummy suay bian
Hi it s alright I won t be able to meet the deadline,Lets keep in touch My msn and facebook email is EMAIL Do add me,Hi my sdule is bz for the next wks I shd be able to work on it if its not urgent Pls let me know,Hey sry for the late reply am at a nus camp right nw My kayaking course timings have been changed so it is no longer coonvenient to meet u this sunday Will be away next wk for another camp too How abt nxt wkend Lemme noe,Lol slack yrs loh,U asa or tech,Lol no worries lah can meet u at the gym or smthing oso won t be at the gym this weekend coz of a course so catch up wif u nxt wk,Hi it s alright
we meet at 30 am at Jurong mrt stat tmr k,s house bbq reply asap,THe doc says at least a wk before can liao U shld take also coz other kinds of flu will come sg only not as serious but betta to be vaccined,but i scare i fail ler how i got a few modules din study very good,Wat you wan to eat Kfc mac burger king long john or chinese food,ll buy the e present first den lunch at marche see ya,tml will b another day dun always look the grey side mar try the bright side lar dun worry too much later i go find u yam cha,I know one day of this wk u nv work ma I meetin jess go orchard thot u free
U so lousy run already come back then half dead Hee,Aiyo u so poor thing Then u dun wan eat U bathe already,What time is ur flight tmr,ll jus take mrt down later,But really quite funny lor wat Then u shd haf run shorter distance wat,Ok lor Msg me b4 u call,m thinking of u So wat r u doing,m really too bored so i msg u I oso dunno wat colour she choose me one
Oh okay thanks for informing Do I get the cash advance from you next week,Oh im sorry for disturbing Thanks for helping,Okay how am I able to issue an invoice under astronomy club s nameto charge the school Is there any ways,And mr tan do we have a bank account for astronomy club to depositthe camp fees from the student s edusave account,Thanks alot mr tan I really need the points,Is there anything I can do about it,Tian ah This one really jialat Bad feeling,Ya that s what I was indicating in the email
Pa is of course da curry one but i ask him later if he wans a not,NOT MUCH NO FIGHTS IT WAS A GOOD NITE,We meet tues at orchard coffee club its girls night,d say hey how u doin nearly the end of me wk off dam nevamind We will have Hook up sn if u want m8 love Jen,Then u choose e time n place out of those i say in e pre msg,Sorry about that this is my mates phone and i didnt write it love Kate,m goin to book liao Oh but wat if they dun allow me to book u leh,Wat time r going sentosa tmr
What D I never learn it before What the sian,Nope Haha okay P woo yay hahaha chinese is terribly boring i m going to fail chinese,Dunno Haha Tioman report also,Haha maybe O o haha dun need ah if you think about it I thinkshould be able to tell when it is ah,LOL yes I already excluded chinese,Revision The passages you all learn are tested for exams also what the,Haha nice He saw Oh what haha maybe coz I not wearing sch u thendidn t really notice bah LOL hmm a girl s body temp is usuallyhigher during her period ah,Bored Chinese is boring
Have one la Heee,Lg eat le Today aunty came over,Enjoy th lunch dear Hee Lub u,Hee no nd U wanat ten also c Hee ove u dear Muas,Yalo Must more bbao But hear ur voice can go slp le If nt sthmiasing Tml wat time u all goin dear,Waiting for ur cal U dum dum Nv pick up phone,Ok I leave hs in min Can baobao u soon Hee,Will reach in min
Heh hope im not too late happy birthday to you D meet up soon alright,Must settle by tmr hor I playing mahjong tonight,if only the inner tube I need the uncle to check for other parts also,Oh oh Nvm eh then DECIMAL lo I can revise abit also,Hey im on my way home alreadu,Hahha yeah no problem,Lol yes Help me plan please,Haha I need to play mahjong
Dunno they all i msg them they havent reply If going somewhere wif xinyi then neva mind,Ok i call n ask I tot u check until too bored fall asleep liao Hee,Oh I working till end of this mth But see if they want to extend me a nt Which company u working in Dun u want to earn more money,2650 all three buy big small ok,m in bangkok now holidayin Wat abt u,Huh Can like that meh Bishan already Was eating Haha,joey Y no reply frm u can u msg me at,Ok i come down now
Dar dar can do me a favour help me send my bro s email to EMAIL and change all the presentation to interview Log in his hotmail EMAIL pw Jd NdlS is L not I,Eh sry think I cannot u just submit the thing first ba,Hmm ok lor From chapter onwards,Is different from our notes one,Heyz sorry I am still outside but let me know if there s anything Ican do to help,Hee Chou baobei ur wifely sends u a reminder that u re supermissed Mugmug da ding ding must show me ur happy face,I go poke him ask him check hp,Aiya Baobei give u big big kiss Muackss
Ya hmmm Book everything Gym also can,Erm we can swim,can ask roy too,Alright sounds awesomez e but I only Fri free this week,Thks Sx Ryan will go rite,I see 1st k,Wat time Who going,Wait for him reply lo BTW I tis week only Tues thurs nid go Mymentor overseas
Hmm to on both days or u want to pm on friday ithink friday later better for u,Got he go his lesson then i can pei u,No lesson but i going school with ben i tink,haha wake up le then went back to sleep since you sleeping also p,hee give you a kiss on your forehead i go read abit more thengo sleep hee,Dar dar dar dar Time for bed le You still playing with C,Ook dearie I try to find my way there,Okie coming ur way
Oh no he didn t reply my sms and I just received yours I try to dotmr morning can Sorry I can t turn on my com now my parents willscold _,Ahh sorry I don t think I can finish it can you summarise your partinstead Maybe can remove some case studies and shunbian put in aconclusion my internet connection is super shaky now I can t emailanything out And my phone also damn problematic _,Okay I think ask tencheer first I ll drop him an sms but can helpsms too Super sian my phone cannot send out msgs today I don t knowwhy get well soon,Oh no Can help me ask jiurui My msgs to her keep getting rejected,WHAT I SLEPT NEXT TO A COCKROACH ARE YOU SERIOUS OH MY GOD THIS ISTERRIBLE HAHA CONVERSE WITH HIM OMG DOES HE REMEMBER IT HAHA MYGRANDMA ORDERED FOOD IN HER SLEEP BEFORE HAHA Oh oops sorry Haha Ifall asleep easily but v hard to wake up Oh damn sian Mt internetconnection damn shaky keep signing in and out of msn what the,Hi suchang sorry Can you help me summarise tencheer s part and putin conclusion Sorry my internet connection is like gone and I haven tdone much anyway so,Haha really like a rock Maybe foreign place ah so i sleep likea rock I kick my stuff all over the place at home de heehee Oh I dothat too Just not on my bed hehe Wow really You are damnsensitive o I don t respond de LOL,He download apps to play lor He can only renew plan next year haha Well then you will treasure the time you meet even more Wow so cool Idun know how to use mine even XD hahaha LOL I m not so tan already Hahahahaha
Eh mei Did u take linear algebra tis sem,ken helo intro plz,Hiyo Ah pa comin to pick me wat Not comin lor,Issit i dunno about it thn ur nephew wil continue to stay at home play wf u loh happy haha,t get into chem engine n gtg lo poor shannon hai,Next week days when u free we going meet dinner,I jx reached hm borrowed an ez link card but money ic etc in room lo hmm have fun in bangkok goin for hw many days,Ok can we meet at then
Hey it s okay Met him,Wah your jeremiah is out of office leh So i shld contact him directly right,Dickson will send to us by today Actually since u ve already sentone to TTSH u don t have to do it again If not it ll be aduplicate,They say by next wed cfm the company which we ll be doing So forexample if TTSH doesn t reply by wed then we won t be doing withthem liao,Wah she so serious ar Okay loh Thanks Anyway they say we ll justwait for the companies reply The deadline is next wed If no reply bywed we won t be taking them le Like that won t waste time keepwaiting Okay,Rmb to take hui yee s proj ar Haha,Hey i bought tix le See u on th ar Haha,Maybe abt DECIMAL like that lah
Haha she buy one not I ask de haha lo next time go buy together Ok yes mdm at most I late u all go in first lol haha ya lo so poorthing no sleep,Haha she buy back cai fan for me lol buy more I wanna Kope nexttime lol okie so late le I where will late one lol,Yeap okie thanks alot I go check now,Haha doesn t matter it look decent u dun complain can le p hahamy mum disappear dunno go where lol dunno my dinner how snack Fatfat Haha,Okie thanks alot Dun mind if I just modify urs and sent since thereare no mark involve x lol mark only and still higher thanaverage lol I tink is the last part ur working mark lesser,Just bath finish so shiok Haha ya true but this laptop bag isgood lol not heavy by itself so easy to carry haha is lucky nocareless and my last qn mark I tink I got working mark mark lol lol maybe u also get very high leh lol,Haha nvm this laptop bag is good also Where got I so good lol myresult out le I got Although the median mark is DECIMAL haha,Okie just send me the format when u r free thanks I just check mineI got the median is DECIMAL lol lucky me I tink my lastqn got working mark
Haha icic P uhoh Hahaha Next time I see them I wear my heelslor will become taller D why did you tell them I said that anyway Pthe popiah thing is super embarrassing leh,Hahaha oh no later they scared of me le how hehe P haha yeah I liketo cling on you P your friends are shorter than I expected LOL,Haha gentle nicer la hor P haha that s coz you there right thenpaiseh say D haha I was very hyper meh,Haha ps It s coz i m shy and idk what to do haha oh how diff,Haha what do you mean I told you i m awkward in front of ppl le,From your last sms Sorry hit you alot today P haha yeah your friendsare cool ppl,Bye pervert Have a safe trip home,I slap you you pervert
